"Rank","Player","Team","Position","Points","Games","Avg"
"270","Dede Westbrook","JAC","WR","66.9","7","9.6"
"271","Chris Moore","BAL","WR","65.9","12","5.5"
"272","Corey Coleman","BUF","WR","65.5","9","7.3"
"273","Dalvin Cook","MIN","RB","65.4","4","16.4"
"274","Dontrelle Inman","FA","WR","65.3","10","6.5"
"275","Stephen Anderson","HOU","TE","65.2","14","4.7"
"276","Brice Butler","ARI","WR","64.7","12","5.4"
"277","Nick O'Leary","BUF","TE","64.2","13","4.9"
"278","Dustin Hopkins","WAS","K","64.0","8","8.0"
"279","Brian Hoyer","NE","QB","64.0","10","6.4"
"280","Coby Fleener","FA","TE","63.5","11","5.8"
"281","Ricardo Louis","CLE","WR","62.7","14","4.5"
"282","Cody Latimer","NYG","WR","61.7","11","5.6"
"283","Blaine Gabbert","TEN","QB","61.6","5","12.3"
"284","Tyler Higbee","LAR","TE","60.5","14","4.3"
"285","Tavarres King","MIN","WR","60.3","8","7.5"
"286","Justin Hardy","ATL","WR","60.1","10","6.0"
"287","Jordan Reed","WAS","TE","60.1","6","10.0"
"288","Damien Williams","KC","RB","59.6","10","6.0"
"289","Rhett Ellison","NYG","TE","59.5","14","4.3"
"290","Nick Rose","HOU","K","59.0","10","5.9"
"291","Martellus Bennett","FA","TE","58.6","9","6.5"
"292","Danny Woodhead","FA","RB","58.6","8","7.3"
"293","Chester Rogers","IND","WR","58.2","10","5.8"
"294","Kenny Britt","FA","WR","57.6","12","4.8"
"295","Josh Gordon","CLE","WR","57.5","5","11.5"
"296","Jordan Matthews","FA","WR","57.2","10","5.7"
"297","D'Onta Foreman","HOU","RB","57.0","9","6.3"
"297","Connor Barth","FA","K","57.0","10","5.7"
"297","Aldrick Robinson","SF","WR","57.0","14","4.1"
"298","Benny Cunningham","CHI","RB","56.9","14","4.1"
"299","Tyler Boyd","CIN","WR","56.5","10","5.7"
"300","Zach Miller","CHI","TE","55.6","8","7.0"
"301","A.J. Derby","MIA","TE","55.4","11","5.0"
"302","Luke Willson","DET","TE","54.3","13","4.2"
"303","Mike Nugent","OAK","K","54.0","8","6.8"
"304","Jason Myers","NYJ","K","53.0","6","8.8"
"305","Darren Fells","CLE","TE","52.7","14","3.8"
"306","Mike Davis","SEA","RB","52.1","6","8.7"
"307","Gerald Everett","LAR","TE","51.7","14","3.7"
"308","Tom Savage","NO","QB","50.7","8","6.3"
"309","Mike Tolbert","FA","RB","50.5","12","4.2"
"310","Drew Stanton","CLE","QB","50.3","5","10.1"
"311","Nick Boyle","BAL","TE","50.3","15","3.4"
"312","Ricky Seals-Jones","ARI","TE","50.1","8","6.3"
"313","Terrelle Pryor","NYJ","WR","50.0","8","6.3"
"314","Jarius Wright","CAR","WR","49.8","12","4.2"
"315","Taywan Taylor","TEN","WR","49.4","16","3.1"
"316","Jacquizz Rodgers","TB","RB","46.8","16","2.9"
"317","Wendell Smallwood","PHI","RB","46.7","8","5.8"
"318","Michael Campanaro","TEN","WR","46.5","13","3.6"
"319","Demetrius Harris","KC","TE","46.4","13","3.6"
"320","Geronimo Allison","GB","WR","46.3","12","3.9"
"321","Nick Novak","FA","K","46.0","7","6.6"
"322","Jeremy Kerley","BUF","WR","45.7","8","5.7"
"322","Jonnu Smith","TEN","TE","45.7","14","3.3"
"323","Russell Shepard","NYG","WR","45.1","14","3.2"
"324","Malcolm Brown","LAR","RB","44.9","11","4.1"
"325","Johnny Holton","OAK","WR","44.8","12","3.7"
"326","Mack Hollins","PHI","WR","44.6","12","3.7"
"327","Alfred Blue","HOU","RB","44.6","9","5.0"
"328","Jakeem Grant","MIA","WR","44.5","15","3.0"
"329","Lance Kendricks","GB","TE","44.3","13","3.4"
"330","Tavon Austin","DAL","WR","43.7","14","3.1"
"331","Robert Kelley","WAS","RB","43.2","7","6.2"
"332","Andre Holmes","BUF","WR","43.0","10","4.3"
"333","Adam Shaheen","CHI","TE","42.7","7","6.1"
"334","Demarcus Robinson","KC","WR","42.2","10","4.2"
"335","Greg Olsen","CAR","TE","42.1","7","6.0"
"336","Corey Grant","JAC","RB","41.9","14","3.0"
"337","Kendrick Bourne","SF","WR","41.7","10","4.2"
"338","Matt Moore","FA","QB","41.3","4","10.3"
"338","Braxton Miller","HOU","WR","41.3","10","4.1"
"339","Kapri Bibbs","WAS","RB","40.7","3","13.6"
"339","De'Anthony Thomas","KC","WR","40.7","14","2.9"
"340","Laquon Treadwell","MIN","WR","40.0","13","3.1"
"341","Chris Carson","SEA","RB","39.7","4","9.9"
"342","Virgil Green","LAC","TE","39.1","11","3.6"
"343","Dion Sims","CHI","TE","39.0","12","3.3"
