"Rank","Player","Team","Position","Points","Games","Avg"
"515","Arrelious Benn","FA","WR","2.2","4","0.6"
"516","Taiwan Jones","BUF","RB","2.1","5","0.4"
"516","David Fluellen","TEN","RB","2.1","7","0.3"
"517","Cobi Hamilton","IND","WR","1.8","2","0.9"
"517","Harry Douglas","FA","WR","1.8","1","1.8"
"518","Larry Pinkard","FA","WR","1.5","2","0.8"
"518","Eric Weems","FA","WR","1.5","11","0.1"
"519","Matt Jones","PHI","RB","1.4","2","0.7"
"520","LeShun Daniels","GB","RB","1.4","2","0.7"
"520","Max McCaffrey","SF","WR","1.4","2","0.7"
"520","Garrett Griffin","NO","TE","1.4","2","0.7"
"520","Cooper Rush","DAL","QB","1.4","2","0.7"
"521","Joe Kerridge","GB","RB","1.3","1","1.3"
"521","Charone Peake","NYJ","WR","1.3","1","1.3"
"521","Ryan Malleck","PIT","TE","1.3","1","1.3"
"521","Scott Tolzien","FA","QB","1.3","1","1.3"
"522","Matt Hazel","FA","WR","1.1","2","0.6"
"522","Devante Mays","GB","RB","1.1","2","0.6"
"523","Marshall Koehn","NYG","K","1.0","1","1.0"
"523","Raheem Mostert","SF","RB","1.0","9","0.1"
"524","Terrell Watson","LAC","RB","0.8","7","0.1"
"525","Taylor Heinicke","CAR","QB","0.6","1","0.6"
"526","Derek Anderson","FA","QB","0.5","3","0.2"
"527","Joe Callahan","PHI","QB","0.4","1","0.4"
"528","Andre Roberts","NYJ","WR","0.2","16","0.0"
"529","John Kuhn","FA","RB","0.2","1","0.2"
"530","Kalif Raymond","NYG","WR","0.1","8","0.0"
"531","Justin Davis","LAR","RB","0.1","1","0.1"
"532","Jeremy McNichols","SF","RB","0.0","1","0.0"
"532","Marquis Bundy","NYG","WR","0.0","1","0.0"
"532","Marquez Williams","FA","RB","0.0","1","0.0"
"532","K.J. Brent","IND","WR","0.0","1","0.0"
"532","Taysom Hill","NO","QB","0.0","3","0.0"
"532","John Phillips","NO","TE","0.0","1","0.0"
"532","Isaac Whitney","OAK","WR","0.0","1","0.0"
"532","Andy Jones","DET","WR","0.0","1","0.0"
"532","Gabe Holmes","ARI","TE","0.0","1","0.0"
"532","Justin Hardee","NO","WR","0.0","7","0.0"
"532","Jason Vander Laan","CAR","TE","0.0","2","0.0"
"532","Brandon Wilson","CIN","RB","0.0","3","0.0"
"532","Logan Paulsen","ATL","TE","0.0","2","0.0"
"532","Jordan Todman","FA","RB","0.0","8","0.0"
"532","Krishawn Hogan","IND","WR","0.0","2","0.0"
"532","Henry Krieger Coble","LAR","TE","0.0","1","0.0"
"532","Eric Saubert","ATL","TE","0.0","1","0.0"
"532","Cethan Carter","CIN","TE","0.0","6","0.0"
"532","Stacy Coley","MIN","WR","0.0","2","0.0"
"532","Victor Bolden Jr.","SF","WR","0.0","8","0.0"
"532","Matt LaCosse","DEN","TE","0.0","1","0.0"
"532","Ed Eagan","FA","WR","0.0","4","0.0"
"532","Rigoberto Sanchez","IND","K","0.0","2","0.0"
"532","C.J. Spiller","FA","RB","0.0","1","0.0"
"532","Griff Whalen","OAK","WR","0.0","2","0.0"
"532","Cody Core","CIN","WR","0.0","5","0.0"
"532","Dwayne Harris","OAK","WR","0.0","5","0.0"
"532","Brandon Banks","IND","WR","0.0","1","0.0"
"532","Shane Smith","NYG","RB","0.0","4","0.0"
"532","Alex Armah","CAR","RB","0.0","1","0.0"
"532","","","","0.0","2","0.0"
"532","Daniel Lasco","NO","RB","0.0","1","0.0"
"532","Ben Braunecker","CHI","TE","0.0","4","0.0"
"532","Jace Billingsley","DET","WR","0.0","1","0.0"
"532","","","","0.0","1","0.0"
"532","Matt Slater","NE","WR","0.0","6","0.0"
"532","Kyle Nelson","SF","TE","0.0","1","0.0"
"533","Austin Davis","SEA","QB","-0.1","1","-0.1"
"534","Bronson Hill","GB","RB","-0.2","2","-0.1"
"534","Chase Daniel","CHI","QB","-0.2","1","-0.2"
"534","Darren McFadden","FA","RB","-0.2","1","-0.2"
"535","Chad Henne","KC","QB","-0.5","2","-0.3"
"536","John Ross","CIN","WR","-0.8","3","-0.3"
"537","Jake Rudock","DET","QB","-1.0","2","-0.5"
"538","Kellen Clemens","FA","QB","-1.1","3","-0.4"
"539","Tyler Bray","CHI","QB","-2.0","1","-2.0"
"540","Teddy Bridgewater","NYJ","QB","-2.3","1","-2.3"
""
""
